lemma,cl
신심/NOUN,1049
신앙/NOUN,1050
신약/NOUN,1051
신인/NOUN,1052
신임/NOUN,1053
신자/NOUN,1054
신학/NOUN,1055
신한은행/NOUN,1056
신흥/NOUN,1057
실력자/NOUN,1058
실리콘/NOUN,1059
실수/NOUN,1060
실외/NOUN,1061
실행/NOUN,1062
실험/NOUN,1063
실현/NOUN,1064
심리/NOUN,1065
심의/NOUN,1066
싱글/NOUN,1067
싸구려/NOUN,1068
씨족/NOUN,1069
아나톨리아/NOUN,1070
아날로그/NOUN,1071
아내/NOUN,1072
아들/NOUN,1073
아래/NOUN,1074
아름다움/NOUN,1075
아메리카/NOUN,1076
아메리칸/NOUN,1077
아버지/NOUN,1078
아시아/NOUN,1079
아이돌/NOUN,1080
아이들/NOUN,1081
아이비리그/NOUN,1082
아일랜드/NOUN,1083
아자이/NOUN,1084
아침/NOUN,1085
아프리카/NOUN,1086
악당/NOUN,1087
악마/NOUN,1088
안기부/NOUN,1089
안전/NOUN,1090
안토니오/NOUN,1091
알/NOUN,1092
알칼리/NOUN,1093
알코올/NOUN,1094
알콜/NOUN,1095
알파/NOUN,1096
알파벳/NOUN,1097
암/NOUN,1098
암석/NOUN,1099
암호/NOUN,1100
암흑/NOUN,1101
압축/NOUN,1102
애니메이션/NOUN,1103
애칭/NOUN,1104
애플/NOUN,1105
앤/NOUN,1106
앨리스/NOUN,1107
앨범/NOUN,1108
야간/NOUN,1109
야구/NOUN,1110
야마토/NOUN,1111
야생/NOUN,1112
야심/NOUN,1113
약/NOUN,1114
약물/NOUN,1115
약소/NOUN,1116
약속/NOUN,1117
약점/NOUN,1118
약초/NOUN,1119
약혼자/NOUN,1120
양/NOUN,1121
양반/NOUN,1122
양자/NOUN,1123
양쪽/NOUN,1124
양키/NOUN,1125
얘기/NOUN,1126
어/NOUN,1127
어느날/NOUN,1128
어려움/NOUN,1129
어류/NOUN,1130
어원/NOUN,1131
억/NOUN,1132
언덕/NOUN,1133
언론/NOUN,1134
언어/NOUN,1135
얼굴/NOUN,1136
얼음/NOUN,1137
업그레이드/NOUN,1138
업무/NOUN,1139
에너지/NOUN,1140
에스파냐/NOUN,1141
엔터테인먼트/NOUN,1142
여덟/NOUN,1143
여동생/NOUN,1144
여러가지/NOUN,1145
여름/NOUN,1146
여배우/NOUN,1147
여성/NOUN,1148
여인/NOUN,1149
여자/NOUN,1150
여타/NOUN,1151
여학생/NOUN,1152
여행/NOUN,1153
역/NOUN,1154
역대/NOUN,1155
역사/NOUN,1156
역사가/NOUN,1157
역할/NOUN,1158
연결/NOUN,1159
연관/NOUN,1160
연구/NOUN,1161
연구소/NOUN,1162
연극/NOUN,1163
연기/NOUN,1164
연기자/NOUN,1165
연대기/NOUN,1166
연도/NOUN,1167
연료/NOUN,1168
연방/NOUN,1169
연습/NOUN,1170
연예/NOUN,1171
연인/NOUN,1172
연주/NOUN,1173
연합/NOUN,1174
연합군/NOUN,1175
열/NOUN,1176
열역학/NOUN,1177
열차/NOUN,1178
염기/NOUN,1179
염소/NOUN,1180
영광/NOUN,1181
영국/NOUN,1182
영국인/NOUN,1183
영상/NOUN,1184
영어/NOUN,1185
영업/NOUN,1186
영역/NOUN,1187
영주/NOUN,1188
영토/NOUN,1189
영향력/NOUN,1190
영화/NOUN,1191
영화배우/NOUN,1192
예/NOUN,1193
예능/NOUN,1194
예방/NOUN,1195
예배/NOUN,1196
예상/NOUN,1197
예술/NOUN,1198
예약/NOUN,1199
예외/NOUN,1200
예일/NOUN,1201
옐로우/NOUN,1202
옛날/NOUN,1203
오늘/NOUN,1204
오디오/NOUN,1205
오스만/NOUN,1206
오스트레일리아/NOUN,1207
오카다/NOUN,1208
오토바이/NOUN,1209
오페라/NOUN,1210
오프닝/NOUN,1211
오픈/NOUN,1212
온도/NOUN,1213
온라인/NOUN,1214
옵션/NOUN,1215
옷/NOUN,1216
왕/NOUN,1217
왕국/NOUN,1218
왕비/NOUN,1219
왕자/NOUN,1220
왕조/NOUN,1221
왕족/NOUN,1222
외교/NOUN,1223
외국/NOUN,1224
외부/NOUN,1225
요구/NOUN,1226
요리/NOUN,1227
요새/NOUN,1228
요소/NOUN,1229
요인/NOUN,1230
요즈음/NOUN,1231
요한/NOUN,1232
용어/NOUN,1233
우라늄/NOUN,1234
우승/NOUN,1235
우익/NOUN,1236
우주/NOUN,1237
우체국/NOUN,1238
우표/NOUN,1239
우호/NOUN,1240
운동/NOUN,1241
운문/NOUN,1242
운영/NOUN,1243
운전/NOUN,1244
운하/NOUN,1245
운행/NOUN,1246
원/NOUN,1247
원거리/NOUN,1248
원로원/NOUN,1249
원리/NOUN,1250
원숭이/NOUN,1251
원시/NOUN,1252
원인/NOUN,1253
원자/NOUN,1254
원자로/NOUN,1255
원정/NOUN,1256
원주민/NOUN,1257
원판/NOUN,1258
월간/NOUN,1259
월드/NOUN,1260
월드컵/NOUN,1261
웨이브/NOUN,1262
웸블리/NOUN,1263
웹/NOUN,1264
위/NOUN,1265
위성/NOUN,1266
위원회/NOUN,1267
위치/NOUN,1268
위험/NOUN,1269
위협/NOUN,1270
윈도/NOUN,1271
